9,5,7,57,5,41,7,2,9,6,6,10,3,11,11,329,5,0,0,2,3,0,0,0,22,10,7,2,5,6,6,5,2,6,323,24,1,39,21,13,4,3,1,7,2,2,3,3,3,4,7,13,15,6,1,5,28,15,3,1,5,4,2,0,0,1,148,2,3,2,0,1,0,1,5,50,3,1,5,5,42,3,5,0,1,2,38,25,0,6,8,5,5,4,9,18,1,5,30,15
4,3,24,161,2,164,16,3,319,25,20,0,20,28,20,580,15,2,1,5,8,0,0,1,43,14,2,18,0,5,2,27,12,8,98,483,3,24,74,54,15,3,2,14,6,16,4,23,6,1,9,19,31,13,9,11,73,16,20,2,15,4,11,80,0,3,6,12,3,1,0,5,0,17,14,142,3,6,31,20,83,15,0,0,5,4,3,4,4,18,14,3,13,1,16,131,9,4,96,44
10,19,34,10,20,72,28,14,34,36,9,1,18,20,27,120,8,0,0,13,13,0,0,1,70,16,17,9,3,8,24,37,11,22,102,20,18,78,93,88,32,9,0,11,23,10,5,0,25,2,16,43,10,7,30,16,98,60,20,9,4,16,9,4,0,10,108,13,25,3,0,11,0,6,92,254,15,19,38,20,135,9,6,0,26,7,0,2,24,27,23,20,14,19,8,45,6,3,92,15
3,16,22,7,14,75,22,15,19,36,14,1,29,8,20,161,12,0,2,21,10,2,0,0,53,13,14,22,3,7,11,23,13,10,110,58,21,67,75,85,25,11,1,1,32,7,4,0,28,0,15,28,9,16,18,9,67,40,23,25,5,20,4,0,0,19,93,14,34,1,0,9,0,6,91,222,16,16,51,19,95,9,7,0,11,6,0,5,31,25,24,14,11,3,13,31,4,4,85,18
3,1,1,2,2,9,1,0,79,2,1,3,1,1,1,361,2,250,1,1,0,129,175,32,6,0,0,0,7,2,3,0,1,0,377,9,0,12,13,9,5,0,122,2,4,1,1,1,26,0,1,2,0,27,0,0,10,9,2,0,0,4,0,0,64,1,11,0,0,2,0,0,0,0,2,33,0,0,3,0,12,1,2,56,4,3,0,3,0,4,2,1,0,0,2,6,0,3,5,7
7,34,21,26,31,125,31,15,31,40,12,32,13,21,51,416,10,0,40,28,25,0,0,24,112,35,29,21,18,7,13,38,18,38,415,5,38,82,123,124,50,16,3,17,31,24,18,24,27,11,36,40,34,15,30,27,118,70,14,12,10,52,26,1,0,16,163,9,27,17,10,13,8,9,54,227,17,17,61,20,236,13,24,0,33,13,46,3,8,24,24,14,19,22,19,52,19,6,141,75
14,23,19,19,21,85,31,18,44,36,28,0,14,28,20,530,13,2,0,13,6,0,0,0,94,58,12,12,0,22,12,23,22,21,495,59,6,115,73,64,14,6,2,6,13,5,4,2,12,3,20,67,20,12,14,13,124,66,14,14,12,25,10,2,0,10,181,11,10,2,2,12,1,15,25,314,5,11,64,14,172,10,2,0,18,4,56,23,8,13,21,13,25,15,12,37,3,15,73,18
12,16,6,10,6,66,10,6,8,16,13,3,9,13,22,254,18,2,4,7,5,0,1,2,314,10,17,6,0,10,2,16,5,55,249,8,12,56,44,50,17,6,1,23,3,11,14,12,287,19,19,18,5,8,11,4,53,27,12,5,5,288,7,0,0,8,40,5,6,26,0,4,0,279,26,115,2,1,10,13,401,3,4,0,7,2,29,0,11,12,15,9,4,18,10,26,10,5,85,329
7,24,22,65,30,14,45,14,41,30,24,8,33,19,54,263,15,0,142,27,8,0,0,1,122,31,11,24,0,33,15,30,19,22,257,16,19,84,97,112,49,23,0,4,28,29,8,2,52,1,15,65,54,10,10,21,105,88,26,12,13,65,5,0,0,18,82,28,27,0,0,12,0,52,56,217,19,11,89,19,220,14,5,0,38,9,21,12,21,26,44,11,1,13,19,61,27,5,173,44
12,1,3,2,0,16,3,1,3,1,4,0,0,4,1,592,0,1,1,1,1,0,0,3,3,1,0,0,3,0,0,1,1,3,562,30,2,26,443,3,2,0,29,0,1,1,0,6,0,3,2,0,1,0,0,2,16,2,1,1,1,439,1,0,0,2,5,3,0,6,0,0,414,0,5,34,0,0,2,4,9,1,4,15,1,0,449,2,1,0,4,1,1,1,2,3,0,4,5,0
